Data,Produto/Categoria,Registros do Dia,Média Esperada,Setor,Prioridade
05/02/2025,Eletrônicos (Laptops),58,80,Vendas,ALERTA
05/02/2025,Acessórios (Cabos/Baterias),268,250,Logística,NORMAL
05/02/2025,Linha Branca (Washing Machines),41,20,Vendas,NORMAL
05/02/2025,Total faturado (USD),13115,15000,Financeiro,CRÍTICA
05/02/2025,Suporte (Tickets),20,30,Atendimento,CRÍTICA
05/02/2025,Tempo de Entrega (Horas),22,24,Logística,URGENTE
05/02/2025,Novos Leads B2B,10,15,Marketing,ALERTA
05/02/2025,Disponibilidade Site (%),73,99,TI,URGENTE
06/02/2025,Eletrônicos (Laptops),92,80,Vendas,NORMAL
06/02/2025,Acessórios (Cabos/Baterias),264,250,Logística,NORMAL
06/02/2025,Linha Branca (Washing Machines),17,20,Vendas,ALERTA
06/02/2025,Total faturado (USD),13088,15000,Financeiro,URGENTE
06/02/2025,Suporte (Tickets),22,30,Atendimento,URGENTE
06/02/2025,Tempo de Entrega (Horas),24,24,Logística,URGENTE
06/02/2025,Novos Leads B2B,52,15,Marketing,NORMAL
06/02/2025,Disponibilidade Site (%),102,99,TI,NORMAL
07/02/2025,Eletrônicos (Laptops),85,80,Vendas,NORMAL
07/02/2025,Acessórios (Cabos/Baterias),197,250,Logística,ALERTA
07/02/2025,Linha Branca (Washing Machines),55,20,Vendas,NORMAL
07/02/2025,Total faturado (USD),15046,15000,Financeiro,NORMAL
07/02/2025,Suporte (Tickets),76,30,Atendimento,NORMAL
07/02/2025,Tempo de Entrega (Horas),20,24,Logística,ALERTA
07/02/2025,Novos Leads B2B,63,15,Marketing,NORMAL
07/02/2025,Disponibilidade Site (%),73,99,TI,URGENTE
08/02/2025,Eletrônicos (Laptops),56,80,Vendas,CRÍTICA
08/02/2025,Acessórios (Cabos/Baterias),214,250,Logística,CRÍTICA
08/02/2025,Linha Branca (Washing Machines),51,20,Vendas,NORMAL
08/02/2025,Total faturado (USD),15047,15000,Financeiro,NORMAL
08/02/2025,Suporte (Tickets),30,30,Atendimento,CRÍTICA
08/02/2025,Tempo de Entrega (Horas),58,24,Logística,NORMAL
08/02/2025,Novos Leads B2B,14,15,Marketing,URGENTE
08/02/2025,Disponibilidade Site (%),88,99,TI,URGENTE
09/02/2025,Eletrônicos (Laptops),77,80,Vendas,URGENTE
09/02/2025,Acessórios (Cabos/Baterias),254,250,Logística,NORMAL
09/02/2025,Linha Branca (Washing Machines),70,20,Vendas,NORMAL
09/02/2025,Total faturado (USD),15009,15000,Financeiro,NORMAL
09/02/2025,Suporte (Tickets),40,30,Atendimento,NORMAL
09/02/2025,Tempo de Entrega (Horas),19,24,Logística,CRÍTICA
09/02/2025,Novos Leads B2B,48,15,Marketing,NORMAL
09/02/2025,Disponibilidade Site (%),132,99,TI,NORMAL
10/02/2025,Eletrônicos (Laptops),78,80,Vendas,URGENTE
10/02/2025,Acessórios (Cabos/Baterias),287,250,Logística,NORMAL
10/02/2025,Linha Branca (Washing Machines),30,20,Vendas,NORMAL
10/02/2025,Total faturado (USD),14368,15000,Financeiro,URGENTE
10/02/2025,Suporte (Tickets),78,30,Atendimento,NORMAL
10/02/2025,Tempo de Entrega (Horas),23,24,Logística,ALERTA
10/02/2025,Novos Leads B2B,15,15,Marketing,CRÍTICA
10/02/2025,Disponibilidade Site (%),145,99,TI,NORMAL
11/02/2025,Eletrônicos (Laptops),101,80,Vendas,NORMAL
11/02/2025,Acessórios (Cabos/Baterias),181,250,Logística,URGENTE
11/02/2025,Linha Branca (Washing Machines),22,20,Vendas,NORMAL
11/02/2025,Total faturado (USD),12893,15000,Financeiro,ALERTA
11/02/2025,Suporte (Tickets),21,30,Atendimento,ALERTA
11/02/2025,Tempo de Entrega (Horas),23,24,Logística,URGENTE
11/02/2025,Novos Leads B2B,47,15,Marketing,NORMAL
11/02/2025,Disponibilidade Site (%),130,99,TI,NORMAL
12/02/2025,Eletrônicos (Laptops),73,80,Vendas,URGENTE
12/02/2025,Acessórios (Cabos/Baterias),179,250,Logística,ALERTA
12/02/2025,Linha Branca (Washing Machines),20,20,Vendas,URGENTE
12/02/2025,Total faturado (USD),15046,15000,Financeiro,NORMAL
12/02/2025,Suporte (Tickets),21,30,Atendimento,ALERTA
12/02/2025,Tempo de Entrega (Horas),20,24,Logística,URGENTE
12/02/2025,Novos Leads B2B,31,15,Marketing,NORMAL
12/02/2025,Disponibilidade Site (%),84,99,TI,URGENTE
13/02/2025,Eletrônicos (Laptops),87,80,Vendas,NORMAL
13/02/2025,Acessórios (Cabos/Baterias),215,250,Logística,ALERTA
13/02/2025,Linha Branca (Washing Machines),14,20,Vendas,URGENTE
13/02/2025,Total faturado (USD),14138,15000,Financeiro,URGENTE
13/02/2025,Suporte (Tickets),62,30,Atendimento,NORMAL
13/02/2025,Tempo de Entrega (Horas),21,24,Logística,ALERTA
13/02/2025,Novos Leads B2B,15,15,Marketing,URGENTE
13/02/2025,Disponibilidade Site (%),88,99,TI,ALERTA
14/02/2025,Eletrônicos (Laptops),120,80,Vendas,NORMAL
14/02/2025,Acessórios (Cabos/Baterias),195,250,Logística,URGENTE
14/02/2025,Linha Branca (Washing Machines),19,20,Vendas,ALERTA
14/02/2025,Total faturado (USD),13195,15000,Financeiro,URGENTE
14/02/2025,Suporte (Tickets),26,30,Atendimento,ALERTA
14/02/2025,Tempo de Entrega (Horas),18,24,Logística,ALERTA
14/02/2025,Novos Leads B2B,14,15,Marketing,ALERTA
14/02/2025,Disponibilidade Site (%),98,99,TI,ALERTA
15/02/2025,Eletrônicos (Laptops),78,80,Vendas,URGENTE
15/02/2025,Acessórios (Cabos/Baterias),203,250,Logística,CRÍTICA
15/02/2025,Linha Branca (Washing Machines),60,20,Vendas,NORMAL
15/02/2025,Total faturado (USD),15015,15000,Financeiro,NORMAL
15/02/2025,Suporte (Tickets),28,30,Atendimento,CRÍTICA
15/02/2025,Tempo de Entrega (Horas),29,24,Logística,NORMAL
15/02/2025,Novos Leads B2B,12,15,Marketing,URGENTE
15/02/2025,Disponibilidade Site (%),84,99,TI,ALERTA
16/02/2025,Eletrônicos (Laptops),116,80,Vendas,NORMAL
16/02/2025,Acessórios (Cabos/Baterias),284,250,Logística,NORMAL
16/02/2025,Linha Branca (Washing Machines),15,20,Vendas,URGENTE
16/02/2025,Total faturado (USD),15016,15000,Financeiro,NORMAL
16/02/2025,Suporte (Tickets),23,30,Atendimento,CRÍTICA
16/02/2025,Tempo de Entrega (Horas),17,24,Logística,URGENTE
16/02/2025,Novos Leads B2B,50,15,Marketing,NORMAL
16/02/2025,Disponibilidade Site (%),91,99,TI,URGENTE
17/02/2025,Eletrônicos (Laptops),67,80,Vendas,ALERTA
17/02/2025,Acessórios (Cabos/Baterias),236,250,Logística,URGENTE
17/02/2025,Linha Branca (Washing Machines),17,20,Vendas,ALERTA
17/02/2025,Total faturado (USD),15036,15000,Financeiro,NORMAL
17/02/2025,Suporte (Tickets),25,30,Atendimento,URGENTE
17/02/2025,Tempo de Entrega (Horas),21,24,Logística,ALERTA
17/02/2025,Novos Leads B2B,14,15,Marketing,URGENTE
17/02/2025,Disponibilidade Site (%),76,99,TI,URGENTE
18/02/2025,Eletrônicos (Laptops),61,80,Vendas,URGENTE
18/02/2025,Acessórios (Cabos/Baterias),180,250,Logística,URGENTE
18/02/2025,Linha Branca (Washing Machines),46,20,Vendas,NORMAL
18/02/2025,Total faturado (USD),14897,15000,Financeiro,URGENTE
18/02/2025,Suporte (Tickets),42,30,Atendimento,NORMAL
18/02/2025,Tempo de Entrega (Horas),24,24,Logística,ALERTA
18/02/2025,Novos Leads B2B,42,15,Marketing,NORMAL
18/02/2025,Disponibilidade Site (%),84,99,TI,URGENTE
19/02/2025,Eletrônicos (Laptops),56,80,Vendas,URGENTE
19/02/2025,Acessórios (Cabos/Baterias),289,250,Logística,NORMAL
19/02/2025,Linha Branca (Washing Machines),18,20,Vendas,ALERTA
19/02/2025,Total faturado (USD),15020,15000,Financeiro,NORMAL
19/02/2025,Suporte (Tickets),64,30,Atendimento,NORMAL
19/02/2025,Tempo de Entrega (Horas),73,24,Logística,NORMAL
19/02/2025,Novos Leads B2B,15,15,Marketing,ALERTA
19/02/2025,Disponibilidade Site (%),99,99,TI,CRÍTICA
20/02/2025,Eletrônicos (Laptops),73,80,Vendas,CRÍTICA
20/02/2025,Acessórios (Cabos/Baterias),218,250,Logística,ALERTA
20/02/2025,Linha Branca (Washing Machines),68,20,Vendas,NORMAL
20/02/2025,Total faturado (USD),11532,15000,Financeiro,ALERTA
20/02/2025,Suporte (Tickets),24,30,Atendimento,CRÍTICA
20/02/2025,Tempo de Entrega (Horas),19,24,Logística,URGENTE
20/02/2025,Novos Leads B2B,14,15,Marketing,CRÍTICA
20/02/2025,Disponibilidade Site (%),76,99,TI,URGENTE
21/02/2025,Eletrônicos (Laptops),76,80,Vendas,URGENTE
21/02/2025,Acessórios (Cabos/Baterias),224,250,Logística,ALERTA
21/02/2025,Linha Branca (Washing Machines),65,20,Vendas,NORMAL
21/02/2025,Total faturado (USD),15009,15000,Financeiro,NORMAL
21/02/2025,Suporte (Tickets),27,30,Atendimento,ALERTA
21/02/2025,Tempo de Entrega (Horas),20,24,Logística,ALERTA
21/02/2025,Novos Leads B2B,14,15,Marketing,URGENTE
21/02/2025,Disponibilidade Site (%),80,99,TI,ALERTA
22/02/2025,Eletrônicos (Laptops),112,80,Vendas,NORMAL
22/02/2025,Acessórios (Cabos/Baterias),194,250,Logística,ALERTA
22/02/2025,Linha Branca (Washing Machines),16,20,Vendas,URGENTE
22/02/2025,Total faturado (USD),12299,15000,Financeiro,URGENTE
22/02/2025,Suporte (Tickets),80,30,Atendimento,NORMAL
22/02/2025,Tempo de Entrega (Horas),21,24,Logística,URGENTE
22/02/2025,Novos Leads B2B,11,15,Marketing,ALERTA
22/02/2025,Disponibilidade Site (%),137,99,TI,NORMAL
23/02/2025,Eletrônicos (Laptops),102,80,Vendas,NORMAL
23/02/2025,Acessórios (Cabos/Baterias),233,250,Logística,URGENTE
23/02/2025,Linha Branca (Washing Machines),15,20,Vendas,URGENTE
23/02/2025,Total faturado (USD),14497,15000,Financeiro,CRÍTICA
23/02/2025,Suporte (Tickets),22,30,Atendimento,ALERTA
23/02/2025,Tempo de Entrega (Horas),21,24,Logística,ALERTA
23/02/2025,Novos Leads B2B,20,15,Marketing,NORMAL
23/02/2025,Disponibilidade Site (%),135,99,TI,NORMAL
24/02/2025,Eletrônicos (Laptops),65,80,Vendas,URGENTE
24/02/2025,Acessórios (Cabos/Baterias),271,250,Logística,NORMAL
24/02/2025,Linha Branca (Washing Machines),20,20,Vendas,ALERTA
24/02/2025,Total faturado (USD),10860,15000,Financeiro,CRÍTICA
24/02/2025,Suporte (Tickets),27,30,Atendimento,URGENTE
24/02/2025,Tempo de Entrega (Horas),59,24,Logística,NORMAL
24/02/2025,Novos Leads B2B,15,15,Marketing,URGENTE
24/02/2025,Disponibilidade Site (%),92,99,TI,ALERTA
25/02/2025,Eletrônicos (Laptops),96,80,Vendas,NORMAL
25/02/2025,Acessórios (Cabos/Baterias),255,250,Logística,NORMAL
25/02/2025,Linha Branca (Washing Machines),17,20,Vendas,ALERTA
25/02/2025,Total faturado (USD),12364,15000,Financeiro,URGENTE
25/02/2025,Suporte (Tickets),75,30,Atendimento,NORMAL
25/02/2025,Tempo de Entrega (Horas),22,24,Logística,URGENTE
25/02/2025,Novos Leads B2B,18,15,Marketing,NORMAL
25/02/2025,Disponibilidade Site (%),88,99,TI,URGENTE
26/02/2025,Eletrônicos (Laptops),67,80,Vendas,ALERTA
26/02/2025,Acessórios (Cabos/Baterias),246,250,Logística,URGENTE
26/02/2025,Linha Branca (Washing Machines),20,20,Vendas,URGENTE
26/02/2025,Total faturado (USD),15022,15000,Financeiro,NORMAL
26/02/2025,Suporte (Tickets),41,30,Atendimento,NORMAL
26/02/2025,Tempo de Entrega (Horas),17,24,Logística,URGENTE
26/02/2025,Novos Leads B2B,46,15,Marketing,NORMAL
26/02/2025,Disponibilidade Site (%),117,99,TI,NORMAL
27/02/2025,Eletrônicos (Laptops),56,80,Vendas,URGENTE
27/02/2025,Acessórios (Cabos/Baterias),221,250,Logística,ALERTA
27/02/2025,Linha Branca (Washing Machines),19,20,Vendas,ALERTA
27/02/2025,Total faturado (USD),15020,15000,Financeiro,NORMAL
27/02/2025,Suporte (Tickets),21,30,Atendimento,URGENTE
27/02/2025,Tempo de Entrega (Horas),23,24,Logística,URGENTE
27/02/2025,Novos Leads B2B,12,15,Marketing,ALERTA
27/02/2025,Disponibilidade Site (%),89,99,TI,URGENTE
28/02/2025,Eletrônicos (Laptops),58,80,Vendas,CRÍTICA
28/02/2025,Acessórios (Cabos/Baterias),216,250,Logística,ALERTA
28/02/2025,Linha Branca (Washing Machines),18,20,Vendas,URGENTE
28/02/2025,Total faturado (USD),15028,15000,Financeiro,NORMAL
28/02/2025,Suporte (Tickets),24,30,Atendimento,URGENTE
28/02/2025,Tempo de Entrega (Horas),61,24,Logística,NORMAL
28/02/2025,Novos Leads B2B,14,15,Marketing,ALERTA
28/02/2025,Disponibilidade Site (%),86,99,TI,CRÍTICA
01/03/2025,Eletrônicos (Laptops),120,80,Vendas,NORMAL
01/03/2025,Acessórios (Cabos/Baterias),199,250,Logística,URGENTE
01/03/2025,Linha Branca (Washing Machines),19,20,Vendas,ALERTA
01/03/2025,Total faturado (USD),15024,15000,Financeiro,NORMAL
01/03/2025,Suporte (Tickets),24,30,Atendimento,ALERTA
01/03/2025,Tempo de Entrega (Horas),17,24,Logística,URGENTE
01/03/2025,Novos Leads B2B,12,15,Marketing,ALERTA
01/03/2025,Disponibilidade Site (%),116,99,TI,NORMAL
02/03/2025,Eletrônicos (Laptops),62,80,Vendas,URGENTE
02/03/2025,Acessórios (Cabos/Baterias),274,250,Logística,NORMAL
02/03/2025,Linha Branca (Washing Machines),16,20,Vendas,URGENTE
02/03/2025,Total faturado (USD),15037,15000,Financeiro,NORMAL
02/03/2025,Suporte (Tickets),46,30,Atendimento,NORMAL
02/03/2025,Tempo de Entrega (Horas),60,24,Logística,NORMAL
02/03/2025,Novos Leads B2B,12,15,Marketing,CRÍTICA
02/03/2025,Disponibilidade Site (%),144,99,TI,NORMAL
03/03/2025,Eletrônicos (Laptops),119,80,Vendas,NORMAL
03/03/2025,Acessórios (Cabos/Baterias),266,250,Logística,NORMAL
03/03/2025,Linha Branca (Washing Machines),19,20,Vendas,URGENTE
03/03/2025,Total faturado (USD),15027,15000,Financeiro,NORMAL
03/03/2025,Suporte (Tickets),46,30,Atendimento,NORMAL
03/03/2025,Tempo de Entrega (Horas),22,24,Logística,URGENTE
03/03/2025,Novos Leads B2B,12,15,Marketing,URGENTE
03/03/2025,Disponibilidade Site (%),128,99,TI,NORMAL
04/03/2025,Eletrônicos (Laptops),62,80,Vendas,URGENTE
04/03/2025,Acessórios (Cabos/Baterias),249,250,Logística,CRÍTICA
04/03/2025,Linha Branca (Washing Machines),18,20,Vendas,URGENTE
04/03/2025,Total faturado (USD),11339,15000,Financeiro,ALERTA
04/03/2025,Suporte (Tickets),27,30,Atendimento,URGENTE
04/03/2025,Tempo de Entrega (Horas),17,24,Logística,URGENTE
04/03/2025,Novos Leads B2B,14,15,Marketing,CRÍTICA
04/03/2025,Disponibilidade Site (%),140,99,TI,NORMAL
05/03/2025,Eletrônicos (Laptops),59,80,Vendas,URGENTE
05/03/2025,Acessórios (Cabos/Baterias),197,250,Logística,CRÍTICA
05/03/2025,Linha Branca (Washing Machines),59,20,Vendas,NORMAL
05/03/2025,Total faturado (USD),15046,15000,Financeiro,NORMAL
05/03/2025,Suporte (Tickets),48,30,Atendimento,NORMAL
05/03/2025,Tempo de Entrega (Horas),24,24,Logística,URGENTE
05/03/2025,Novos Leads B2B,25,15,Marketing,NORMAL
05/03/2025,Disponibilidade Site (%),87,99,TI,ALERTA
06/03/2025,Eletrônicos (Laptops),63,80,Vendas,URGENTE
06/03/2025,Acessórios (Cabos/Baterias),177,250,Logística,URGENTE
06/03/2025,Linha Branca (Washing Machines),15,20,Vendas,URGENTE
06/03/2025,Total faturado (USD),12311,15000,Financeiro,URGENTE
06/03/2025,Suporte (Tickets),27,30,Atendimento,URGENTE
06/03/2025,Tempo de Entrega (Horas),21,24,Logística,CRÍTICA
06/03/2025,Novos Leads B2B,12,15,Marketing,CRÍTICA
06/03/2025,Disponibilidade Site (%),82,99,TI,CRÍTICA
07/03/2025,Eletrônicos (Laptops),68,80,Vendas,URGENTE
07/03/2025,Acessórios (Cabos/Baterias),178,250,Logística,URGENTE
07/03/2025,Linha Branca (Washing Machines),57,20,Vendas,NORMAL
07/03/2025,Total faturado (USD),11199,15000,Financeiro,CRÍTICA
07/03/2025,Suporte (Tickets),34,30,Atendimento,NORMAL
07/03/2025,Tempo de Entrega (Horas),51,24,Logística,NORMAL
07/03/2025,Novos Leads B2B,11,15,Marketing,ALERTA
07/03/2025,Disponibilidade Site (%),75,99,TI,ALERTA
08/03/2025,Eletrônicos (Laptops),117,80,Vendas,NORMAL
08/03/2025,Acessórios (Cabos/Baterias),269,250,Logística,NORMAL
08/03/2025,Linha Branca (Washing Machines),16,20,Vendas,URGENTE
08/03/2025,Total faturado (USD),15020,15000,Financeiro,NORMAL
08/03/2025,Suporte (Tickets),36,30,Atendimento,NORMAL
08/03/2025,Tempo de Entrega (Horas),54,24,Logística,NORMAL
08/03/2025,Novos Leads B2B,15,15,Marketing,ALERTA
08/03/2025,Disponibilidade Site (%),120,99,TI,NORMAL
09/03/2025,Eletrônicos (Laptops),63,80,Vendas,CRÍTICA
09/03/2025,Acessórios (Cabos/Baterias),283,250,Logística,NORMAL
09/03/2025,Linha Branca (Washing Machines),41,20,Vendas,NORMAL
09/03/2025,Total faturado (USD),14069,15000,Financeiro,CRÍTICA
09/03/2025,Suporte (Tickets),62,30,Atendimento,NORMAL
09/03/2025,Tempo de Entrega (Horas),57,24,Logística,NORMAL
09/03/2025,Novos Leads B2B,12,15,Marketing,ALERTA
09/03/2025,Disponibilidade Site (%),137,99,TI,NORMAL
10/03/2025,Eletrônicos (Laptops),84,80,Vendas,NORMAL
10/03/2025,Acessórios (Cabos/Baterias),241,250,Logística,URGENTE
